Category,SKU,Group ID,Product Type,Product,Variant,Reorder,Cost Price,Retail Price,Margin,branch_id,Supplier,Tax,Quantity,Serial Number,serialized,expiry date,,,
BAKE,9.78E+12,1,STOCKABLE,Divine Will and Human Choice-Muller,NONE,0,2433,3500,1067,1,DEFAULT,NONE,3,,0,,,,
BAKE,358,1,STOCKABLE,Elements of Biblical exegesis-Gorman,NONE,0,1030,1900,870,1,DEFAULT,NONE,1,,0,,,,
BAKE,349,1,STOCKABLE,Encountering the NT-Elwell,NONE,0,1325,1590,265,1,DEFAULT,NONE,0,,0,,,,
BAKE,9.78E+12,1,STOCKABLE,Encountering The OT-Beyer,NONE,0,1922,3500,1578,1,DEFAULT,NONE,1,,0,,,,
BAKE,350,1,STOCKABLE,Evangelical Dictionary of Theology-Elwell,NONE,0,2587,4000,1413,1,DEFAULT,NONE,0,,0,,,,
BAKE,404,1,STOCKABLE,Everyday Theology-Vanhoozer,NONE,0,1280,1600,320,1,DEFAULT,NONE,0,,0,,,,
BAKE,342,1,STOCKABLE,Exegesis to Exposition-Chisholm,NONE,0,1667,2000,333,1,DEFAULT,NONE,0,,0,,,,
BAKE,9.78E+12,1,STOCKABLE,Exegetical Fallacies-Carson,NONE,0,1273,1900,627,1,DEFAULT,NONE,10,,0,,,,
BAKE,9.78E+12,1,STOCKABLE,For the Glory of God-Block,NONE,0,1387,2500,1113,1,DEFAULT,NONE,2,,0,,,,
BAKE,370,1,STOCKABLE,Gift and Giver-Keener,NONE,0,917,1100,183,1,DEFAULT,NONE,0,,0,,,,
BAKE,9.78E+12,1,STOCKABLE,Globalizing Theology-OTT & Netland,NONE,0,1792,2150,358,1,DEFAULT,NONE,2,,0,,,,
BAKE,BAK003,1,STOCKABLE,Gospel in Human Context,NONE,0,1630,2400,770,1,DEFAULT,NONE,0,,0,,,,
BAKE,9.78E+12,1,STOCKABLE,Handbook of NT Exegesis-Blomberg & Markley,NONE,0,1566,2750,1184,1,DEFAULT,NONE,0,,0,,,,
BAKE,359,1,STOCKABLE,Handbook on Historical Books-Hamilton,NONE,0,2322,3220,898,1,DEFAULT,NONE,0,,0,,,,
BAKE,360,1,STOCKABLE,Handbook on Pentateuch -Hamilton,NONE,0,1864,3300,1436,1,DEFAULT,NONE,2,,0,,,,
BAKE,409,1,STOCKABLE,Handbook on Spiritual Formation-Wilhoit,NONE,0,1283,1540,257,1,DEFAULT,NONE,0,,0,,,,
BAKE,9.78E+12,1,STOCKABLE,Handbook on the N.T use of O.T-Beale,NONE,0,1103,1500,397,1,DEFAULT,NONE,0,,0,,,,
BAKE,9.78E+12,1,STOCKABLE,Handbook on the Prophets-Chisholm,NONE,0,1733,2900,1167,1,DEFAULT,NONE,0,,0,,,,
BAKE,354,1,STOCKABLE,Handbook on Wisdom Books & Psalms-Estes,NONE,0,2293,3200,907,1,DEFAULT,NONE,2,,0,,,,
BAKE,9.78E+12,1,STOCKABLE,Interpreting the Pauline Epistles-Schreiner,NONE,0,1527,2200,673,1,DEFAULT,NONE,0,,0,,,,
BAKE,9.78E+12,1,STOCKABLE,Introducing Biblical Hebrew-Ross,NONE,0,2279,4000,1721,1,DEFAULT,NONE,5,,0,,,,
BAKE,353,1,STOCKABLE,Introducing Christian Doctrine-Erickson,NONE,0,1750,3050,1300,1,DEFAULT,NONE,0,,0,,,,
BAKE,9.78E+12,1,STOCKABLE,Introducing Christian Education -Anthony,NONE,0,2140,3900,1760,1,DEFAULT,NONE,10,,0,,,,
BAKE,367,1,STOCKABLE,Introducing Cultural Anthropology-Howell/Parris,NONE,0,1583,1900,317,1,DEFAULT,NONE,0,,0,,,,
BAKE,9.78E+12,1,STOCKABLE,"Introducing World Missions 2nd-Moreau, Corwin & McGee",NONE,0,1565,3000,1435,1,DEFAULT,NONE,0,,0,,,,
BAKE,9.78E+12,1,STOCKABLE,Katharina and Martin Luther-DeRusha,NONE,0,851,1550,699,1,DEFAULT,NONE,0,,0,,,,
BAKE,BAK004,1,STOCKABLE,King in His Beauty,NONE,0,2599,4100,1501,1,DEFAULT,NONE,0,,0,,,,
BAKE,BAK005,1,STOCKABLE,Law and its Fulfillment (Paper),NONE,0,1987,3100,1113,1,DEFAULT,NONE,0,,0,,,,
BAKE,374,1,STOCKABLE,Leading Cross-Culturally-Lingenfalter,NONE,0,1083,1300,217,1,DEFAULT,NONE,0,,0,,,,
BAKE,389,1,STOCKABLE,Let the Nations Be Glad (3rd Edition)-Piper,NONE,0,792,1200,408,1,DEFAULT,NONE,0,,0,,,,
BAKE,372,1,STOCKABLE,Ministering Cross-Culturally-Lingenfalter,NONE,0,954,1300,346,1,DEFAULT,NONE,0,,0,,,,
BAKE,BAK006,1,STOCKABLE,"Minor Prophets, Vol 3",NONE,0,2140,3500,1360,1,DEFAULT,NONE,0,,0,,,,
BAKE,369,1,STOCKABLE,Mission in the Old Testament (Shawn Redford)-Kaiser,NONE,0,852,2000,1148,1,DEFAULT,NONE,0,,0,,,,
BAKE,403,1,STOCKABLE,Mission on the Way-Van Engen,NONE,0,1083,1300,217,1,DEFAULT,NONE,0,,0,,,,
BAKE,331,1,STOCKABLE,New Testament Textual Criticism-Black,NONE,0,583,700,117,1,DEFAULT,NONE,0,,0,,,,
BAKE,9.78E+12,1,STOCKABLE,New Testament Theology-Schreiner,NONE,0,3007,4400,1393,1,DEFAULT,NONE,6,,0,,,,
BAKE,9.78E+12,1,STOCKABLE,NIV -Giant  Print-Bible,NONE,0,1600,2100,500,1,DEFAULT,NONE,0,,0,,,,
BAKE,410,1,STOCKABLE,Nurture that is Christian-Wilhoit,NONE,0,1250,1500,250,1,DEFAULT,NONE,0,,0,,,,
BAKE,347,1,STOCKABLE,Passion and Purity-Elliot,NONE,0,673,1350,677,1,DEFAULT,NONE,0,,0,,,,
BAKE,9.78E+12,1,STOCKABLE,Planting Churches a cross culture-Hesselgrave,NONE,0,2000,3000,1000,1,DEFAULT,NONE,0,,0,,,,
BAKE,386,1,STOCKABLE,Power of Evil-Page,NONE,0,1133,1600,467,1,DEFAULT,NONE,0,,0,,,,
